Name,RF BELGIUM GVT BMK BID YLD 3M - RED. YIELD
01/01/2003,2.05
02/01/2003,2.05
03/01/2003,2.05
06/01/2003,2.05
07/01/2003,2.05
08/01/2003,2.05
09/01/2003,2.05
10/01/2003,2.05
13/01/2003,2.05
14/01/2003,2.05
15/01/2003,2.05
16/01/2003,2.05
17/01/2003,2.05
20/01/2003,2.05
21/01/2003,2.05
22/01/2003,2.05
23/01/2003,2.05
24/01/2003,2.05
27/01/2003,2.05
28/01/2003,2.05
29/01/2003,2.05
30/01/2003,2.05
31/01/2003,2.05
03/02/2003,2.05
04/02/2003,2.05
05/02/2003,2.05
06/02/2003,2.05
07/02/2003,2.05
10/02/2003,2.05
11/02/2003,2.05
12/02/2003,2.05
13/02/2003,2.05
14/02/2003,2.05
17/02/2003,2.05
18/02/2003,2.05
19/02/2003,2.05
20/02/2003,2.05
21/02/2003,2.05
24/02/2003,2.05
25/02/2003,2.05
26/02/2003,2.05
27/02/2003,2.05
28/02/2003,2.05
03/03/2003,2.05
04/03/2003,2.05
05/03/2003,2.05
06/03/2003,2.05
07/03/2003,2.05
10/03/2003,2.05
11/03/2003,2.05
12/03/2003,2.05
13/03/2003,2.05
14/03/2003,2.05
17/03/2003,2.05
18/03/2003,2.05
19/03/2003,2.05
20/03/2003,2.05
21/03/2003,2.05
24/03/2003,2.05
25/03/2003,2.05
26/03/2003,2.05
27/03/2003,2.05
28/03/2003,2.05
31/03/2003,2.05
01/04/2003,2.05
02/04/2003,2.05
03/04/2003,2.05
04/04/2003,2.05
07/04/2003,2.05
08/04/2003,2.05
09/04/2003,2.05
10/04/2003,2.05
11/04/2003,2.05
14/04/2003,2.05
15/04/2003,2.05
16/04/2003,2.05
17/04/2003,2.05
18/04/2003,2.05
21/04/2003,2.05
22/04/2003,2.05
23/04/2003,2.05
24/04/2003,2.05
25/04/2003,2.05
28/04/2003,2.05
29/04/2003,2.05
30/04/2003,2.05
01/05/2003,2.05
02/05/2003,2.05
05/05/2003,2.05
06/05/2003,2.05
07/05/2003,2.05
08/05/2003,2.05
09/05/2003,2.05
12/05/2003,2.05
13/05/2003,2.05
14/05/2003,2.05
15/05/2003,2.05
16/05/2003,2.05
19/05/2003,2.05
20/05/2003,2.05
21/05/2003,2.05
22/05/2003,2.05
23/05/2003,2.05
26/05/2003,2.05
27/05/2003,2.05
28/05/2003,2.05
29/05/2003,2.05
30/05/2003,2.05
02/06/2003,2.05
03/06/2003,2.05
04/06/2003,2.05
05/06/2003,2.05
06/06/2003,2.05
09/06/2003,2.05
10/06/2003,2.05
11/06/2003,2.05
12/06/2003,2.05
13/06/2003,2.05
16/06/2003,2.05
17/06/2003,2.05
18/06/2003,2.05
19/06/2003,2.05
20/06/2003,2.05
23/06/2003,2.05
24/06/2003,2.05
25/06/2003,2.05
26/06/2003,2.05
27/06/2003,2.05
30/06/2003,2.05
01/07/2003,2.05
02/07/2003,2.05
03/07/2003,2.05
04/07/2003,2.05
07/07/2003,2.05
08/07/2003,2.05
09/07/2003,2.05
10/07/2003,2.05
11/07/2003,2.05
14/07/2003,2.05
15/07/2003,2.05
16/07/2003,2.05
17/07/2003,2.05
18/07/2003,2.05
21/07/2003,2.05
22/07/2003,2.05
23/07/2003,2.05
24/07/2003,2.05
25/07/2003,2.05
28/07/2003,2.05
29/07/2003,2.05
30/07/2003,2.05
31/07/2003,2.05
01/08/2003,2.05
04/08/2003,2.05
05/08/2003,2.05
06/08/2003,2.05
07/08/2003,2.05
08/08/2003,2.05
11/08/2003,2.05
12/08/2003,2.05
13/08/2003,2.05
14/08/2003,2.05
15/08/2003,2.05
18/08/2003,2.05
19/08/2003,2.05
20/08/2003,2.05
21/08/2003,2.05
22/08/2003,2.05
25/08/2003,2.05
26/08/2003,2.05
27/08/2003,2.05
28/08/2003,2.05
29/08/2003,2.05
01/09/2003,2.05
02/09/2003,2.05
03/09/2003,2.05
04/09/2003,2.05
05/09/2003,2.05
08/09/2003,2.05
09/09/2003,2.05
10/09/2003,2.05
11/09/2003,2.05
12/09/2003,2.05
15/09/2003,2.05
16/09/2003,2.05
17/09/2003,2.05
18/09/2003,2.05
19/09/2003,2.05
22/09/2003,2.05
23/09/2003,2.05
24/09/2003,2.05
25/09/2003,2.05
