Name,RF COMBINED GVT BMK BID YLD 3M - RED. YIELD
01/01/2003,4.003
02/01/2003,4.024
03/01/2003,4.06
06/01/2003,4.119
07/01/2003,4.08
08/01/2003,4.08
09/01/2003,4.108
10/01/2003,4.108
13/01/2003,4.146
14/01/2003,4.096
15/01/2003,4.037
16/01/2003,4.037
17/01/2003,4.042
20/01/2003,4.077
21/01/2003,4.077
22/01/2003,4.03
23/01/2003,4.09
24/01/2003,4.083
27/01/2003,4.059
28/01/2003,4.051
29/01/2003,4.051
30/01/2003,4.024
31/01/2003,4.074
03/02/2003,4.074
04/02/2003,4.079
05/02/2003,4.041
06/02/2003,4.083
07/02/2003,4.089
10/02/2003,4.089
11/02/2003,4.089
12/02/2003,3.901
13/02/2003,3.88
14/02/2003,3.88
17/02/2003,3.88
18/02/2003,3.903
19/02/2003,3.856
20/02/2003,3.856
21/02/2003,3.831
24/02/2003,3.788
25/02/2003,3.814
26/02/2003,3.814
27/02/2003,3.793
28/02/2003,3.793
03/03/2003,3.806
04/03/2003,3.714
05/03/2003,3.769
06/03/2003,3.735
07/03/2003,3.733
10/03/2003,3.753
11/03/2003,3.753
12/03/2003,3.758
13/03/2003,3.749
14/03/2003,3.759
17/03/2003,3.697
18/03/2003,3.76
19/03/2003,3.699
20/03/2003,3.756
21/03/2003,3.792
24/03/2003,3.756
25/03/2003,3.704
26/03/2003,3.707
27/03/2003,3.707
28/03/2003,3.661
31/03/2003,3.793
01/04/2003,3.793
02/04/2003,3.793
03/04/2003,3.793
04/04/2003,3.794
07/04/2003,3.806
08/04/2003,3.806
09/04/2003,3.803
10/04/2003,3.814
11/04/2003,3.741
14/04/2003,3.791
15/04/2003,3.709
16/04/2003,3.755
17/04/2003,3.755
18/04/2003,3.755
21/04/2003,3.755
22/04/2003,3.751
23/04/2003,3.746
24/04/2003,3.728
25/04/2003,3.661
28/04/2003,3.648
29/04/2003,3.648
30/04/2003,3.648
01/05/2003,3.648
02/05/2003,3.626
05/05/2003,3.659
06/05/2003,3.633
07/05/2003,3.633
