Name,RF NORWAY GVT BMK BID YLD 3M DISC - RED. YIELD
01/01/2003,5.957
02/01/2003,6
03/01/2003,6.071
06/01/2003,6.189
07/01/2003,6.111
08/01/2003,6.111
09/01/2003,6.167
10/01/2003,6.168
13/01/2003,6.244
14/01/2003,6.143
15/01/2003,6.025
16/01/2003,6.025
17/01/2003,6.035
20/01/2003,6.105
21/01/2003,6.105
22/01/2003,6.012
23/01/2003,6.131
24/01/2003,6.117
27/01/2003,6.07
28/01/2003,6.054
29/01/2003,6.054
30/01/2003,6
31/01/2003,6.099
03/02/2003,6.099
04/02/2003,6.11
05/02/2003,6.034
06/02/2003,6.117
07/02/2003,6.129
10/02/2003,6.129
11/02/2003,6.129
12/02/2003,5.754
13/02/2003,5.711
14/02/2003,5.711
17/02/2003,5.711
18/02/2003,5.757
19/02/2003,5.664
20/02/2003,5.663
21/02/2003,5.613
24/02/2003,5.527
25/02/2003,5.579
26/02/2003,5.579
27/02/2003,5.537
28/02/2003,5.537
03/03/2003,5.563
04/03/2003,5.38
05/03/2003,5.489
06/03/2003,5.421
07/03/2003,5.417
10/03/2003,5.458
11/03/2003,5.458
12/03/2003,5.467
13/03/2003,5.449
14/03/2003,5.469
17/03/2003,5.346
18/03/2003,5.472
19/03/2003,5.35
20/03/2003,5.464
21/03/2003,5.536
24/03/2003,5.463
25/03/2003,5.36
26/03/2003,5.366
27/03/2003,5.366
28/03/2003,5.273
31/03/2003,5.538
01/04/2003,5.538
02/04/2003,5.538
03/04/2003,5.538
04/04/2003,5.539
07/04/2003,5.563
08/04/2003,5.563
09/04/2003,5.557
10/04/2003,5.579
11/04/2003,5.434
14/04/2003,5.533
15/04/2003,5.369
16/04/2003,5.462
17/04/2003,5.462
18/04/2003,5.462
21/04/2003,5.462
22/04/2003,5.453
23/04/2003,5.443
24/04/2003,5.408
25/04/2003,5.273
28/04/2003,5.248
29/04/2003,5.248
30/04/2003,5.248
01/05/2003,5.248
02/05/2003,5.203
05/05/2003,5.27
06/05/2003,5.218
07/05/2003,5.218
08/05/2003,5.218
09/05/2003,4.745
12/05/2003,4.675
13/05/2003,4.729
14/05/2003,4.721
15/05/2003,4.761
16/05/2003,4.721
19/05/2003,4.647
20/05/2003,4.72
21/05/2003,4.689
22/05/2003,4.754
23/05/2003,4.677
26/05/2003,4.633
27/05/2003,4.649
28/05/2003,4.615
29/05/2003,4.615
30/05/2003,4.609
02/06/2003,4.58
03/06/2003,4.31
04/06/2003,4.203
05/06/2003,4.069
06/06/2003,4.147
09/06/2003,4.147
10/06/2003,3.983
11/06/2003,4.035
12/06/2003,4.023
13/06/2003,4.047
16/06/2003,3.796
17/06/2003,3.841
18/06/2003,3.764
19/06/2003,3.867
20/06/2003,3.801
23/06/2003,3.861
24/06/2003,3.848
25/06/2003,3.617
26/06/2003,3.708
27/06/2003,3.781
30/06/2003,3.757
01/07/2003,3.577
02/07/2003,3.579
03/07/2003,3.572
04/07/2003,3.57
07/07/2003,3.57
08/07/2003,3.59
09/07/2003,3.562
10/07/2003,3.562
11/07/2003,3.432
14/07/2003,3.334
15/07/2003,3.337
16/07/2003,3.337
17/07/2003,3.551
18/07/2003,3.535
21/07/2003,3.538
22/07/2003,3.562
23/07/2003,3.531
24/07/2003,3.531
25/07/2003,3.499
28/07/2003,3.494
29/07/2003,3.529
30/07/2003,3.524
31/07/2003,3.467
01/08/2003,3.505
04/08/2003,3.567
05/08/2003,3.626
06/08/2003,3.759
07/08/2003,3.568
08/08/2003,3.533
11/08/2003,3.474
12/08/2003,3.422
13/08/2003,3.509
14/08/2003,3.252
15/08/2003,3.271
18/08/2003,2.88
19/08/2003,2.948
20/08/2003,2.926
21/08/2003,2.928
22/08/2003,2.932
25/08/2003,2.922
26/08/2003,2.959
27/08/2003,2.964
28/08/2003,2.975
29/08/2003,2.922
01/09/2003,2.894
02/09/2003,2.862
03/09/2003,2.84
04/09/2003,2.837
05/09/2003,2.837
08/09/2003,2.824
09/09/2003,2.799
10/09/2003,2.81
11/09/2003,2.82
12/09/2003,2.758
15/09/2003,2.665
16/09/2003,2.644
17/09/2003,2.614
18/09/2003,2.58
19/09/2003,2.593
22/09/2003,2.621
23/09/2003,2.621
24/09/2003,2.622
25/09/2003,2.609
26/09/2003,2.609
29/09/2003,2.625
30/09/2003,2.625
01/10/2003,2.646
02/10/2003,2.637
03/10/2003,2.647
06/10/2003,2.648
07/10/2003,2.72
08/10/2003,2.743
09/10/2003,2.76
10/10/2003,2.758
13/10/2003,2.73
14/10/2003,2.736
15/10/2003,2.762
16/10/2003,2.77
17/10/2003,2.811
20/10/2003,2.81
21/10/2003,2.778
22/10/2003,2.784
23/10/2003,2.772
24/10/2003,2.77
27/10/2003,2.753
28/10/2003,2.755
29/10/2003,2.694
30/10/2003,2.698
31/10/2003,2.691
03/11/2003,2.74
04/11/2003,2.746
05/11/2003,2.768
06/11/2003,2.779
07/11/2003,2.796
10/11/2003,2.795
11/11/2003,2.796
12/11/2003,2.804
13/11/2003,2.796
14/11/2003,2.794
17/11/2003,2.777
18/11/2003,2.759
19/11/2003,2.739
20/11/2003,2.753
21/11/2003,2.745
24/11/2003,2.753
25/11/2003,2.762
26/11/2003,2.763
27/11/2003,2.707
28/11/2003,2.662
01/12/2003,2.68
02/12/2003,2.679
03/12/2003,2.704
04/12/2003,2.705
05/12/2003,2.689
08/12/2003,2.693
09/12/2003,2.667
10/12/2003,2.589
11/12/2003,2.59
12/12/2003,2.538
15/12/2003,2.505
16/12/2003,2.477
17/12/2003,2.3
18/12/2003,2.237
19/12/2003,2.251
22/12/2003,2.248
23/12/2003,2.229
24/12/2003,2.229
25/12/2003,2.229
26/12/2003,2.229
29/12/2003,2.219
30/12/2003,2.229
31/12/2003,2.229
01/01/2004,2.229
02/01/2004,2.214
05/01/2004,2.192
06/01/2004,2.224
07/01/2004,2.202
08/01/2004,2.189
