Name,RF BELGIUM GVT BMK BID YLD 3M - RED. YIELD
01/01/2003,2.05
01/02/2003,2.05
01/03/2003,2.05
01/04/2003,2.05
01/05/2003,2.05
01/06/2003,2.05
01/07/2003,2.05
01/08/2003,2.05
01/09/2003,2.05
01/10/2003,2.05
01/11/2003,2.05
01/12/2003,2.05
01/01/2004,2.05
01/02/2004,2.05
01/03/2004,2.05
01/04/2004,2.05
01/05/2004,2.05
01/06/2004,2.05
01/07/2004,2.05
01/08/2004,2.05
01/09/2004,2.05
01/10/2004,2.05
01/11/2004,2.05
01/12/2004,2.05
01/01/2005,2.048
01/02/2005,2.069
01/03/2005,2.07
01/04/2005,2.058
01/05/2005,2.087
01/06/2005,2.024
01/07/2005,2.008
01/08/2005,2.036
01/09/2005,2.043
01/10/2005,2.036
01/11/2005,2.174
01/12/2005,2.368
01/01/2006,2.292
01/02/2006,2.503
01/03/2006,2.581
01/04/2006,2.711
01/05/2006,2.65
01/06/2006,2.838
01/07/2006,2.896
01/08/2006,3.044
01/09/2006,3.018
01/10/2006,3.302
01/11/2006,3.391
01/12/2006,3.423
01/01/2007,3.523
01/02/2007,3.673
01/03/2007,3.746
01/04/2007,3.822
01/05/2007,3.954
01/06/2007,3.981
01/07/2007,4.038
01/08/2007,4.133
01/09/2007,4.007
01/10/2007,3.951
01/11/2007,4.001
01/12/2007,3.97
01/01/2008,4.409
01/02/2008,3.931
01/03/2008,4.369
01/04/2008,3.919
01/05/2008,3.964
01/06/2008,4.078
01/07/2008,4.407
01/08/2008,4.783
01/09/2008,4.334
01/10/2008,3.676
01/11/2008,3.025
01/12/2008,2.188
01/01/2009,1.807
01/02/2009,1.314
01/03/2009,0.988
01/04/2009,0.854
01/05/2009,0.751
01/06/2009,0.762
01/07/2009,0.569
01/08/2009,0.406
01/09/2009,0.343
01/10/2009,0.444
01/11/2009,0.419
01/12/2009,0.468
01/01/2010,0.4
01/02/2010,0.304
01/03/2010,0.323
01/04/2010,0.355
01/05/2010,0.304
01/06/2010,0.171
01/07/2010,0.385
01/08/2010,0.377
01/09/2010,0.441
01/10/2010,0.557
01/11/2010,0.777
01/12/2010,0.883
01/01/2011,0.629
01/02/2011,0.865
01/03/2011,0.895
01/04/2011,0.962
01/05/2011,1.143
01/06/2011,1.13
01/07/2011,1.248
01/08/2011,1.143
01/09/2011,0.897
01/10/2011,0.864
01/11/2011,0.905
01/12/2011,1.417
01/01/2012,0.073
01/02/2012,0.333
01/03/2012,0.256
01/04/2012,0.205
01/05/2012,0.15
01/06/2012,0.178
01/07/2012,0.296
01/08/2012,0.1
01/09/2012,0.005
01/10/2012,0.103
01/11/2012,0.012
01/12/2012,0.095
01/01/2013,0.096
01/02/2013,0.035
01/03/2013,0.14
01/04/2013,0.037
01/05/2013,0.024
01/06/2013,0.041
01/07/2013,0.035
01/08/2013,0.065
01/09/2013,0.091
01/10/2013,0.033
01/11/2013,0.065
01/12/2013,0.061
01/01/2014,0.076
01/02/2014,0.132
01/03/2014,0.131
01/04/2014,0.201
01/05/2014,0.177
01/06/2014,0.119
01/07/2014,-0.001
01/08/2014,0.008
01/09/2014,0.007
01/10/2014,-0.039
01/11/2014,-0.048
01/12/2014,-0.051
01/01/2015,-0.035
01/02/2015,-0.129
01/03/2015,-0.117
01/04/2015,-0.194
01/05/2015,-0.182
01/06/2015,-0.175
01/07/2015,-0.191
01/08/2015,-0.217
01/09/2015,-0.239
01/10/2015,-0.247
01/11/2015,-0.272
01/12/2015,-0.353
01/01/2016,-0.459
01/02/2016,-0.376
01/03/2016,-0.422
01/04/2016,-0.425
01/05/2016,-0.474
01/06/2016,-0.535
01/07/2016,-0.627
01/08/2016,-0.565
01/09/2016,-0.614
01/10/2016,-0.717
01/11/2016,-0.753
01/12/2016,-0.791
01/01/2017,-0.919
01/02/2017,-0.593
01/03/2017,-0.703
01/04/2017,-0.658
01/05/2017,-0.636
01/06/2017,-0.629
01/07/2017,-0.628
01/08/2017,-0.611
01/09/2017,-0.648
01/10/2017,-0.633
01/11/2017,-0.666
01/12/2017,-0.879
01/01/2018,-0.771
01/02/2018,-0.657
01/03/2018,-0.598
01/04/2018,-0.6
01/05/2018,-0.558
01/06/2018,-0.586
01/07/2018,-0.605
01/08/2018,-0.532
01/09/2018,-0.541
01/10/2018,-0.577
01/11/2018,-0.744
01/12/2018,-0.72
01/01/2019,-0.903
01/02/2019,-0.512
01/03/2019,-0.499
01/04/2019,-0.511
01/05/2019,-0.537
01/06/2019,-0.531
01/07/2019,-0.539
01/08/2019,-0.514
01/09/2019,-0.647
01/10/2019,-0.656
01/11/2019,-0.613
01/12/2019,-0.574
01/01/2020,-0.56
01/02/2020,-0.567
01/03/2020,-0.605
01/04/2020,-0.483
01/05/2020,-0.469
01/06/2020,-0.493
01/07/2020,-0.514
01/08/2020,-0.557
01/09/2020,-0.548
01/10/2020,-0.595
01/11/2020,-0.686
01/12/2020,-0.654
01/01/2021,-0.738
01/02/2021,-0.618
01/03/2021,-0.6
01/04/2021,-0.609
01/05/2021,-0.613
01/06/2021,-0.623
01/07/2021,-0.634
01/08/2021,-0.639
01/09/2021,-0.636
01/10/2021,-0.717
01/11/2021,-0.772
01/12/2021,-0.844
01/01/2022,-0.627
01/02/2022,-0.641
01/03/2022,-0.72
01/04/2022,-0.643
01/05/2022,-0.639
01/06/2022,-0.52
01/07/2022,-0.452
01/08/2022,0.08
01/09/2022,0.052
01/10/2022,0.849
01/11/2022,1.07
01/12/2022,1.64
01/01/2023,2.02
01/02/2023,2.514
01/03/2023,2.697
01/04/2023,2.961
01/05/2023,3.059
01/06/2023,3.278
01/07/2023,3.415
01/08/2023,3.626
01/09/2023,3.625
01/10/2023,3.815
01/11/2023,3.778
01/12/2023,3.754
29/12/2023,3.71
