Name,RF COMBINED GVT BMK BID YLD 3M - RED. YIELD
01/01/2003,4.003
01/02/2003,4.074
01/03/2003,3.806
01/04/2003,3.793
01/05/2003,3.648
01/06/2003,3.314
01/07/2003,2.813
01/08/2003,2.777
01/09/2003,2.471
01/10/2003,2.347
01/11/2003,2.394
01/12/2003,2.364
01/01/2004,2.139
01/02/2004,2.033
01/03/2004,1.885
01/04/2004,1.883
01/05/2004,1.911
01/06/2004,1.935
01/07/2004,1.966
01/08/2004,1.963
01/09/2004,1.948
01/10/2004,1.96
01/11/2004,1.957
01/12/2004,1.938
01/01/2005,1.92
01/02/2005,1.934
01/03/2005,1.885
01/04/2005,1.912
01/05/2005,1.921
01/06/2005,1.933
01/07/2005,2.136
01/08/2005,2.035
01/09/2005,2.212
01/10/2005,2.147
01/11/2005,2.204
01/12/2005,2.406
01/01/2006,2.354
01/02/2006,2.453
01/03/2006,2.555
01/04/2006,2.705
01/05/2006,2.687
01/06/2006,2.929
01/07/2006,2.92
01/08/2006,2.991
01/09/2006,3.117
01/10/2006,3.32
01/11/2006,3.438
01/12/2006,3.446
01/01/2007,3.682
01/02/2007,3.865
01/03/2007,3.975
01/04/2007,4.076
01/05/2007,4.119
01/06/2007,4.295
01/07/2007,4.309
01/08/2007,4.377
01/09/2007,4.441
01/10/2007,4.516
01/11/2007,4.604
01/12/2007,4.802
01/01/2008,4.677
01/02/2008,4.743
01/03/2008,4.881
01/04/2008,4.458
01/05/2008,4.828
01/06/2008,4.978
01/07/2008,5.188
01/08/2008,5.341
01/09/2008,5.185
01/10/2008,4.472
01/11/2008,4.319
01/12/2008,3.624
01/01/2009,2.289
01/02/2009,1.98
01/03/2009,1.632
01/04/2009,1.474
01/05/2009,1.435
01/06/2009,1.196
01/07/2009,1.021
01/08/2009,0.948
01/09/2009,0.95
01/10/2009,1.041
01/11/2009,1.076
01/12/2009,1.105
01/01/2010,1.202
01/02/2010,1.163
01/03/2010,1.149
01/04/2010,1.212
01/05/2010,1.263
01/06/2010,1.182
01/07/2010,1.364
01/08/2010,1.343
01/09/2010,1.324
01/10/2010,1.441
01/11/2010,1.478
01/12/2010,1.522
01/01/2011,1.43
01/02/2011,1.526
01/03/2011,1.513
01/04/2011,1.614
01/05/2011,1.717
01/06/2011,1.746
01/07/2011,1.824
01/08/2011,1.762
01/09/2011,1.59
01/10/2011,1.346
01/11/2011,1.587
01/12/2011,1.736
01/01/2012,0.688
01/02/2012,1.003
01/03/2012,0.984
01/04/2012,0.888
01/05/2012,0.875
01/06/2012,0.899
01/07/2012,0.935
01/08/2012,0.774
01/09/2012,0.759
01/10/2012,0.883
01/11/2012,0.816
01/12/2012,0.856
01/01/2013,0.81
01/02/2013,0.853
01/03/2013,0.907
01/04/2013,0.849
01/05/2013,0.818
01/06/2013,0.812
01/07/2013,0.783
01/08/2013,0.781
01/09/2013,0.862
01/10/2013,0.807
01/11/2013,0.834
01/12/2013,0.797
01/01/2014,0.712
01/02/2014,0.833
01/03/2014,0.841
01/04/2014,0.788
01/05/2014,0.783
01/06/2014,0.742
01/07/2014,0.621
01/08/2014,0.615
01/09/2014,0.647
01/10/2014,0.658
01/11/2014,0.682
01/12/2014,0.657
01/01/2015,0.54
01/02/2015,0.504
01/03/2015,0.5
01/04/2015,0.417
01/05/2015,0.546
01/06/2015,0.688
01/07/2015,0.389
01/08/2015,0.381
01/09/2015,0.403
01/10/2015,0.231
01/11/2015,0.275
01/12/2015,0.318
01/01/2016,0.104
01/02/2016,0.266
01/03/2016,0.184
01/04/2016,0.071
01/05/2016,0.06
01/06/2016,0.116
01/07/2016,0.018
01/08/2016,0.017
01/09/2016,0.035
01/10/2016,-0.085
01/11/2016,-0.106
01/12/2016,0.109
01/01/2017,-0.167
01/02/2017,-0.028
01/03/2017,-0.077
01/04/2017,-0.087
01/05/2017,-0.038
01/06/2017,-0.051
01/07/2017,-0.107
01/08/2017,-0.095
01/09/2017,-0.096
01/10/2017,-0.072
01/11/2017,-0.118
01/12/2017,-0.235
01/01/2018,0.022
01/02/2018,-0.099
01/03/2018,-0.051
01/04/2018,-0.025
01/05/2018,0.038
01/06/2018,0.073
01/07/2018,0.028
01/08/2018,0.034
01/09/2018,0.044
01/10/2018,0.1
01/11/2018,0.069
01/12/2018,0.058
01/01/2019,-0.005
